journal_title,journal_path,journal_url,series
npj Biological Physics and Mechanics,/npjbiolphysmech/,https://www.nature.com/npjbiolphysmech/,npj
npj Biological Timing and Sleep,/npjbts/,https://www.nature.com/npjbts/,npj
npj Biomedical Innovations,/npjbiomedinnov/,https://www.nature.com/npjbiomedinnov/,npj
npj Biosensing,/npjbiosensing/,https://www.nature.com/npjbiosensing/,npj
npj Breast Cancer,/npjbcancer/,https://www.nature.com/npjbcancer/,npj
npj Cardiovascular Health,/npjcardiohealth/,https://www.nature.com/npjcardiohealth/,npj
npj Clean Air,/npjcleanair/,https://www.nature.com/npjcleanair/,npj
npj Clean Energy,/npjcleanenergy/,https://www.nature.com/npjcleanenergy/,npj
npj Clean Water,/npjcleanwater/,https://www.nature.com/npjcleanwater/,npj
npj Climate Action,/npjclimataction/,https://www.nature.com/npjclimataction/,npj
npj Climate and Atmospheric Science,/npjclimatsci/,https://www.nature.com/npjclimatsci/,npj
npj Complexity,/npjcomplex/,https://www.nature.com/npjcomplex/,npj
npj Computational Materials,/npjcompumats/,https://www.nature.com/npjcompumats/,npj
npj Dementia,/npjdementia/,https://www.nature.com/npjdementia/,npj
npj Digital Medicine,/npjdigitalmed/,https://www.nature.com/npjdigitalmed/,npj
npj Digital Public Health,/npjdigipubhealth/,https://www.nature.com/npjdigipubhealth/,npj
npj Digital Surgery,/npjdigisurg/,https://www.nature.com/npjdigisurg/,npj
npj Drug Discovery,/npjdrugdiscov/,https://www.nature.com/npjdrugdiscov/,npj
npj Emerging Contaminants,/npjemergcontam/,https://www.nature.com/npjemergcontam/,npj
npj Energy Materials,/npjenergymats/,https://www.nature.com/npjenergymats/,npj
npj Entomology,/npjentomology/,https://www.nature.com/npjentomology/,npj
npj Environmental Social Sciences,/npjenvsocsci/,https://www.nature.com/npjenvsocsci/,npj
npj Exercise Medicine and Health,/npjexercisemed/,https://www.nature.com/npjexercisemed/,npj
npj Flexible Electronics,/npjflexelectron/,https://www.nature.com/npjflexelectron/,npj
npj Fungal Science,/npjfungalsci/,https://www.nature.com/npjfungalsci/,npj
npj Genomic Medicine,/npjgenmed/,https://www.nature.com/npjgenmed/,npj
npj Gut and Liver,/npjgutliver/,https://www.nature.com/npjgutliver/,npj
npj Health Systems,/npjhealthsyst/,https://www.nature.com/npjhealthsyst/,npj
npj Heritage Science,/npjheritagesci/,https://www.nature.com/npjheritagesci/,npj
npj Imaging,/npjimaging/,https://www.nature.com/npjimaging/,npj
npj Integrated Electronics,/npjintgrelect/,https://www.nature.com/npjintgrelect/,npj
npj Materials Degradation,/npjmatdeg/,https://www.nature.com/npjmatdeg/,npj
npj Materials Sustainability,/npjmatsustain/,https://www.nature.com/npjmatsustain/,npj
npj Mental Health Research,/npjmentalhealth/,https://www.nature.com/npjmentalhealth/,npj
npj Metabolic Health and Disease,/npjmetabhealth/,https://www.nature.com/npjmetabhealth/,npj
npj Metamaterials,/npjmetamat/,https://www.nature.com/npjmetamat/,npj
npj Microgravity,/npjmgrav/,https://www.nature.com/npjmgrav/,npj
npj Nanophotonics,/npjnanophoton/,https://www.nature.com/npjnanophoton/,npj
npj Natural Hazards,/npjnathazards/,https://www.nature.com/npjnathazards/,npj
npj Ocean Sustainability,/npjoceansustain/,https://www.nature.com/npjoceansustain/,npj
npj Palaeoecosystems,/npjpalaeo/,https://www.nature.com/npjpalaeo/,npj
npj Parkinson's Disease,/npjparkd/,https://www.nature.com/npjparkd/,npj
npj Power Electronics,/npjpowerelect/,https://www.nature.com/npjpowerelect/,npj
npj Precision Oncology,/npjprecisiononcology/,https://www.nature.com/npjprecisiononcology/,npj
npj Primary Care Respiratory Medicine,/npjpcrm/,https://www.nature.com/npjpcrm/,npj
npj Quantum Information,/npjqi/,https://www.nature.com/npjqi/,npj
npj Quantum Materials,/npjquantmats/,https://www.nature.com/npjquantmats/,npj
npj Regenerative Medicine,/npjregenmed/,https://www.nature.com/npjregenmed/,npj
npj Robotics,/npjrobot/,https://www.nature.com/npjrobot/,npj
npj Science of Food,/npjscifood/,https://www.nature.com/npjscifood/,npj
npj Science of Learning,/npjscilearn/,https://www.nature.com/npjscilearn/,npj
npj Science of Plants,/npjsciplants/,https://www.nature.com/npjsciplants/,npj
npj Self-Powered Electronics,/npjselfpowelect/,https://www.nature.com/npjselfpowelect/,npj
npj Soft Matter,/npjsoftmat/,https://www.nature.com/npjsoftmat/,npj
npj Soil Ecology,/npjsoilecol/,https://www.nature.com/npjsoilecol/,npj
npj Space Exploration,/npjspaceexplor/,https://www.nature.com/npjspaceexplor/,npj
npj Spintronics,/npjspintronics/,https://www.nature.com/npjspintronics/,npj
npj Structural Biology,/npjstructbiol/,https://www.nature.com/npjstructbiol/,npj
npj Sustainable Agriculture,/npjsustainagric/,https://www.nature.com/npjsustainagric/,npj
npj Sustainable Mobility and Transport,/npjsustainmobil/,https://www.nature.com/npjsustainmobil/,npj
npj Systems Biology and Applications,/npjsba/,https://www.nature.com/npjsba/,npj
npj Thermal Science and Engineering,/npjthermscieng/,https://www.nature.com/npjthermscieng/,npj
npj Toxicology,/npjtoxicol/,https://www.nature.com/npjtoxicol/,npj
npj Unconventional Computing,/npjunconvcomput/,https://www.nature.com/npjunconvcomput/,npj
npj Urban Sustainability,/npjurbansustain/,https://www.nature.com/npjurbansustain/,npj
npj Vaccines,/npjvaccines/,https://www.nature.com/npjvaccines/,npj
npj Veterinary Sciences,/npjvetsci/,https://www.nature.com/npjvetsci/,npj
npj Viruses,/npjviruses/,https://www.nature.com/npjviruses/,npj
npj Wireless Technology,/npjwireltech/,https://www.nature.com/npjwireltech/,npj
npj Women's Health,/npjwomenshealth/,https://www.nature.com/npjwomenshealth/,npj
Scientific Data,/sdata/,https://www.nature.com/sdata/,scientific
Scientific Reports,https://www.nature.com/srep/,https://www.nature.comhttps://www.nature.com/srep/,scientific
Scientific Reports,/srep/,https://www.nature.com/srep/,scientific
